scenario_id,feeder_id,pv_bus,existing_pv_kw,new_pv_kw,total_pv_kw,base_pv_bus_voltage_pu,pv_pv_bus_voltage_pu,delta_pv_bus_voltage_pu,base_min_voltage_pu,base_max_voltage_pu,pv_min_voltage_pu,pv_max_voltage_pu,max_voltage_rise_pu,worst_voltage_bus,base_max_line_loading_pct,pv_max_line_loading_pct,base_max_transformer_loading_pct,pv_max_transformer_loading_pct,worst_line,worst_transformer,base_total_p_kw,pv_total_p_kw,delta_total_p_kw,base_total_q_kvar,pv_total_q_kvar,delta_total_q_kvar,base_losses_kw,pv_losses_kw,delta_losses_kw,reverse_power_flow,constraint_type,constraint_reason,label,base_min_voltage_bus,base_max_voltage_bus,pv_min_voltage_bus,pv_max_voltage_bus,delta_line_loading_pct,delta_transformer_loading_pct,existing_load_at_bus_kw,pv_bus_vn_kv,base_worst_line,base_worst_transformer,reverse_reason,converged
S01248,IEEE_CompTestFeeder,7122,0,225,225,0.95827,0.96778,0.00951,0.90593,1.00536,0.90745,1.00658,0.00121,702,8.77,8.76,92.8,92.64,OH-1 parallel with OH-2,T7,4178.44,3944.95,-233.49,1690.21,1647.72,-42.49,442.35,433.86,-8.49,1,caution,reverse flow,CAUTION,734,702,734,702,-0.02,-0.16,0,0.24,OH-1 parallel with OH-2,T7,line 28 0.145->-0.079 reversed,True
S01249,IEEE_CompTestFeeder,730,10,90,100,0.9474,0.95115,0.00375,0.90618,1.00545,0.90847,1.00622,0.00077,702,8.75,8.51,92.78,92.53,OH-1 parallel with OH-2,T7,4166.89,4063.37,-103.52,1686.67,1656.01,-30.66,440.8,427.28,-13.52,1,caution,reverse flow,CAUTION,734,702,734,702,-0.24,-0.24,85.0,0.24,OH-1 parallel with OH-2,T7,line 31 0.075->-0.015 reversed,True
S01250,IEEE_CompTestFeeder,728,0,19,19,0.93707,0.94084,0.00376,0.90593,1.00536,0.90642,1.00553,0.00017,702,8.77,8.72,92.8,92.75,OH-1 parallel with OH-2,T7,4178.44,4156.32,-22.12,1690.21,1683.33,-6.88,442.35,439.23,-3.12,0,none,No violation,SAFE,734,702,734,702,-0.05,-0.05,38.0,0.24,OH-1 parallel with OH-2,T7,none,True
S01251,IEEE_CompTestFeeder,620,0,58,58,0.99457,0.99643,0.00186,0.90593,1.00536,0.90677,1.00576,0.00039,702,8.77,8.63,92.8,92.71,OH-1 parallel with OH-2,T7,4178.44,4115.44,-63.0,1690.21,1675.17,-15.04,442.35,437.35,-5.0,0,none,No violation,SAFE,734,702,734,702,-0.14,-0.09,0,0.24,OH-1 parallel with OH-2,T7,none,True
S01252,IEEE_CompTestFeeder,726,0,45,45,0.99457,1.03899,0.04442,0.90593,1.00536,0.90654,1.03899,0.03363,626,8.77,10.42,92.8,92.74,SEC-3,T7,4178.44,4131.61,-46.83,1690.21,1679.78,-10.43,442.35,440.52,-1.83,0,caution,max 1.0390>1.03; rise 0.0444>=0.03,CAUTION,734,702,734,626,1.64,-0.07,0,0.24,OH-1 parallel with OH-2,T7,none,True
S01253,IEEE_CompTestFeeder,7481,15,27,42,0.95739,0.96009,0.0027,0.90656,1.00556,0.90768,1.00591,0.00035,702,8.73,8.64,92.73,92.59,OH-1 parallel with OH-2,T7,4158.92,4123.95,-34.97,1681.76,1666.88,-14.88,437.83,429.87,-7.97,0,none,No violation,SAFE,734,702,734,702,-0.08,-0.14,0,0.24,OH-1 parallel with OH-2,T7,none,True
S01254,IEEE_CompTestFeeder,6322,0,127,127,0.92107,0.93041,0.00935,0.90593,1.00536,0.91543,1.00661,0.00125,702,8.77,8.42,92.8,92.44,OH-1 parallel with OH-2,T1,4178.44,4025.73,-152.71,1690.21,1639.04,-51.17,442.35,416.64,-25.71,1,caution,reverse flow,CAUTION,734,702,734,702,-0.35,-0.36,0,0.24,OH-1 parallel with OH-2,T7,trafo 3 reversed,True
S01255,IEEE_CompTestFeeder,6251,0,141,141,0.99457,1.08431,0.08975,0.90593,1.00536,0.90766,1.08431,0.07895,625,8.77,31.28,92.8,92.62,SEC-2,T7,4178.44,4038.08,-140.36,1690.21,1662.55,-27.66,442.35,442.99,0.64,1,voltage,Max voltage 1.0843 pu at bus 625 exceeds 1.05,CONSTRAINED,734,702,734,625,22.51,-0.19,0,0.24,OH-1 parallel with OH-2,T7,line 30 0.066->-0.064 reversed,True
S01256,IEEE_CompTestFeeder,733,3,233,236,0.91498,1.01731,0.10233,0.90743,1.0054,0.92975,1.01731,0.01191,633,8.77,52.09,92.79,127.13,SEC-7,T4,4174.74,3918.18,-256.56,1688.89,1610.99,-77.9,441.66,418.1,-23.56,1,voltage_rise,Voltage rise at PV bus 733 0.1023 pu exceeds 0.05,CONSTRAINED,734,702,735,633,43.32,34.34,0,0.24,OH-1 parallel with OH-2,T7,line 38 0.013->-0.202 reversed,True
S01257,IEEE_CompTestFeeder,6211,11,53,64,0.99859,1.01743,0.01885,0.90609,1.00544,0.90683,1.01743,0.01199,621,8.75,15.13,92.79,92.71,SEC-4,T7,4166.52,4110.39,-56.13,1687.33,1674.57,-12.76,441.43,438.3,-3.13,0,none,No violation,SAFE,734,702,734,621,6.38,-0.08,0,0.24,OH-1 parallel with OH-2,T7,none,True
S01258,IEEE_CompTestFeeder,622,0,165,165,0.99457,1.0981,0.10353,0.90593,1.00536,0.9079,1.0981,0.09273,622,8.77,36.15,92.8,92.59,SEC-4,T7,4178.44,4016.34,-162.1,1690.21,1659.46,-30.75,442.35,445.26,2.9,1,voltage,Max voltage 1.0981 pu at bus 622 exceeds 1.05,CONSTRAINED,734,702,734,622,27.37,-0.21,0,0.24,OH-1 parallel with OH-2,T7,line 30 0.066->-0.084 reversed,True
S01259,IEEE_CompTestFeeder,751,0,229,229,0.96852,0.98478,0.01626,0.90593,1.00536,0.91495,1.00807,0.00271,702,8.77,8.09,92.8,92.3,OH-1 parallel with OH-2,T1,4178.44,3888.58,-289.86,1690.21,1576.28,-113.93,442.35,381.49,-60.86,0,none,No violation,SAFE,734,702,734,702,-0.69,-0.51,0,0.48,OH-1 parallel with OH-2,T7,none,True
S01260,IEEE_CompTestFeeder,6222,0,31,31,0.99457,1.0158,0.02124,0.90593,1.00536,0.90637,1.0158,0.01044,622,8.77,8.7,92.8,92.76,OH-1 parallel with OH-2,T7,4178.44,4145.42,-33.02,1690.21,1682.51,-7.7,442.35,440.34,-2.02,0,none,No violation,SAFE,734,702,734,622,-0.07,-0.05,0,0.24,OH-1 parallel with OH-2,T7,none,True
S01261,IEEE_CompTestFeeder,6251,0,83,83,0.99457,1.04939,0.05482,0.90593,1.00536,0.90703,1.04939,0.04402,625,8.77,19.03,92.8,92.69,SEC-2,T7,4178.44,4092.95,-85.49,1690.21,1671.78,-18.43,442.35,439.87,-2.49,1,voltage_rise,Voltage rise at PV bus 6251 0.0548 pu exceeds 0.05,CONSTRAINED,734,702,734,625,10.25,-0.12,0,0.24,OH-1 parallel with OH-2,T7,line 30 0.066->-0.013 reversed,True
S01262,IEEE_CompTestFeeder,726,0,16,16,0.99457,1.01085,0.01628,0.90593,1.00536,0.90616,1.01085,0.00548,626,8.77,8.74,92.8,92.78,OH-1 parallel with OH-2,T7,4178.44,4161.31,-17.13,1690.21,1686.16,-4.05,442.35,441.23,-1.13,0,none,No violation,SAFE,734,702,734,626,-0.04,-0.02,0,0.24,OH-1 parallel with OH-2,T7,none,True
S01263,IEEE_CompTestFeeder,772,10,191,201,0.93536,0.9554,0.02004,0.90639,1.00552,0.91489,1.00821,0.00269,702,8.74,8.12,92.75,92.28,OH-1 parallel with OH-2,T1,4164.73,3909.1,-255.63,1683.58,1567.68,-115.9,438.64,374.01,-64.63,1,caution,reverse flow,CAUTION,734,702,734,702,-0.62,-0.46,100.0,0.208,OH-1 parallel with OH-2,T7,line 21 0.090->-0.101 reversed,True
S01264,IEEE_CompTestFeeder,7642,0,91,91,0.93653,0.94805,0.01153,0.90593,1.00536,0.91005,1.00668,0.00131,702,8.77,8.48,92.8,92.43,OH-1 parallel with OH-2,T1,4178.44,4055.47,-122.97,1690.21,1633.28,-56.93,442.35,410.39,-31.97,1,caution,reverse flow,CAUTION,734,702,734,702,-0.3,-0.37,0,0.24,OH-1 parallel with OH-2,T7,line 24 0.046->-0.045 reversed,True
S01265,IEEE_CompTestFeeder,6331,5,92,97,0.91597,0.95911,0.04314,0.90842,1.00542,0.92581,1.00629,0.00088,702,8.76,20.5,92.78,92.47,SEC-7,T1,4172.29,4064.62,-107.66,1688.01,1652.1,-35.91,441.2,425.54,-15.66,1,caution,rise 0.0431>=0.03; reverse flow,CAUTION,734,702,735,702,11.74,-0.31,0,0.24,OH-1 parallel with OH-2,T7,line 38 0.011->-0.078 reversed,True
